"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Josh Allen","BUF","1","36","30","19","1","80","253","0","9.88","1","0","0","0","3","","","","","","7","21","1","0","0","","","","","","","0","0","22.2","0.62"
"Luke Falk","NYJ","1","27","25","20","1","87.5","198","0","5.33","0","0","0","0","2","","","","","","0","0","0","0","0","","","","","","","0","0","7.9","0.29"
"Mason Rudolph","PIT","1","20","19","12","2","77.8","112","0","8.39","2","0","0","1","0","","","","","","1","7","0","0","0","","","","","","","0","1","12.2","0.61"
"Baker Mayfield","CLV","1","38","35","19","1","66.7","325","1","10.4","1","1","1","1","3","","","","","","0","0","0","0","0","","","","","","","0","0","16","0.42"
"Ryan Finley","CIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Lamar Jackson","BLT","1","44","37","24","1","73.5","272","0","9.97","2","0","0","0","2","","","","","","16","120","0","0","0","","","","","","","0","0","30.9","0.7"
"Dwayne Haskins","WAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Gardner Minshew","JAX","1","43","33","23","1","75","213","0","6.63","1","0","0","0","4","","","","","","6","56","0","0","3","","","","","","","0","0","18.1","0.42"
"Daniel Jones","NYG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Kyler Murray","ARZ","1","44","40","25","1","74.3","349","1","8.09","0","0","0","0","3","","","","","","3","4","0","0","1","","","","","","","1","1","14.4","0.33"
"Josh Rosen","MIA","1","21","18","7","2","52.9","97","0","17.24","0","0","0","1","3","","","","","","0","0","0","0","0","","","","","","","0","0","2.9","0.14"
"Kyle Allen","CAR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Tim Boyle","GB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Jarrett Stidham","NE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Cooper Rush","DAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Nick Mullens","SF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Taysom Hill","NO","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Joshua Dobbs","JAX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Deshaun Watson","HST","1","35","29","16","2","66.7","159","0","13.11","0","0","0","0","4","","","","","","4","5","1","0","2","","","","","","","0","0","12.9","0.37"
"Patrick Mahomes","KC","1","46","44","30","0","73.2","443","1","12.15","4","2","0","0","2","","","","","","1","-1","0","0","1","","","","","","","0","0","33.6","0.73"
"Mitchell Trubisky","CHI","1","27","27","16","2","66.7","120","0","7.89","0","0","0","0","0","","","","","","1","8","0","0","0","","","","","","","0","0","5.6","0.21"
"Dak Prescott","DAL","1","33","30","26","2","93.3","269","0","8.23","3","1","1","1","1","","","","","","5","69","0","0","0","","","","","","","0","0","28.7","0.87"
"Jacoby Brissett","IND","1","35","28","17","2","76","146","0","5.08","3","0","0","1","3","","","","","","7","25","0","0","1","","","","","","","0","0","19.3","0.55"
"Carson Wentz","PHI","1","46","43","25","4","70.7","231","0","10.76","1","0","0","2","3","","","","","","3","3","1","0","0","","","","","","","1","2","17.5","0.38"
"Jared Goff","LA","1","32","28","19","2","80.8","283","0","7.65","1","0","0","0","3","","","","","","4","-2","1","0","1","","","","","","","0","0","21.1","0.66"
"Trevor Siemian","NYJ","1","8","6","3","0","60","3","0","5.2","0","0","0","0","2","","","","","","0","0","0","0","0","","","","","","","0","0","0.1","0.01"
"Brett Hundley","ARZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Sean Mannion","MIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Marcus Mariota","TEN","1","35","28","19","3","84.6","154","0","6.35","1","0","0","0","4","","","","","","5","32","0","0","1","","","","","","","0","0","13.4","0.38"
"Jameis Winston","TB","1","29","25","16","1","68","208","0","12.64","1","0","0","0","3","","","","","","4","9","0","0","0","","","","","","","0","0","13.2","0.46"
"Garrett Gilbert","CLV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"A.J. McCarron","HST","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Jimmy Garoppolo","SF","1","27","25","17","2","79.2","296","0","7.42","3","0","0","1","0","","","","","","4","8","0","0","0","","","","","","","0","0","23.6","0.87"
"Derek Carr","OAK","1","43","38","23","3","72.2","198","0","6.53","1","0","0","2","3","","","","","","2","18","0","0","2","","","","","","","0","0","11.7","0.27"
"Teddy Bridgewater","NO","1","34","30","17","3","74.1","165","0","6.59","0","0","0","0","2","","","","","","2","5","0","0","1","","","","","","","0","0","7.1","0.21"
"Blake Bortles","LA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Ryan Griffin","TB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Matt Barkley","BUF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Mike Glennon","OAK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Geno Smith","SEA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Case Keenum","WAS","1","38","37","26","1","75","221","0","6.61","2","0","0","0","1","","","","","","1","-1","0","0","0","","","","","","","0","0","16.7","0.44"
"Kirk Cousins","MIN","1","35","32","14","1","57.7","233","0","11.19","1","1","0","2","1","","","","","","2","17","0","0","2","","","","","","","0","0","13","0.37"
"Russell Wilson","SEA","1","41","35","29","1","85.7","300","1","7.26","3","0","0","0","4","","","","","","6","22","0","0","1","","","","","","","0","0","26.2","0.64"
"Robert Griffin III","BLT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Tyrod Taylor","LAC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Andy Dalton","CIN","1","47","43","26","2","66.7","311","1","7.55","2","1","1","1","4","","","","","","1","0","0","0","1","","","","","","","0","0","19.4","0.41"
"Cam Newton","CAR","1","54","51","25","2","61.4","333","1","11.64","0","0","0","0","3","","","","","","2","0","0","0","1","","","","","","","0","0","13.3","0.25"
"Colt McCoy","WAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Matthew Stafford","DET","1","32","30","22","1","82.1","245","0","10.61","2","0","0","2","0","","","","","","4","13","0","0","0","","","","","","","0","0","17.1","0.53"
"Josh Johnson","DET","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Joe Flacco","DEN","1","52","50","35","1","78.3","292","0","4.96","1","0","0","1","2","","","","","","0","0","0","0","0","","","","","","","1","1","14.7","0.28"
"Matt Ryan","ATL","1","45","43","27","1","66.7","320","1","9.81","3","1","1","3","1","","","","","","2","3","0","0","0","","","","","","","0","0","22.1","0.49"
"Matt Moore","KC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Drew Stanton","CLV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Ryan Fitzpatrick","MIA","1","26","21","11","2","68.4","89","0","7.84","0","0","0","3","4","","","","","","1","6","0","0","0","","","","","","","0","0","1.2","0.05"
"Aaron Rodgers","GB","1","37","35","23","0","79.3","215","0","6.9","2","0","0","0","2","","","","","","1","-5","0","0","1","","","","","","","0","0","16.1","0.44"
"Matt Schaub","ATL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Ben Roethlisberger","PIT","1","16","15","8","2","76.9","75","0","6.85","0","0","0","0","1","","","","","","0","0","0","0","0","","","","","","","0","0","3","0.19"
"Philip Rivers","LAC","1","38","36","21","5","76.5","293","0","10.94","0","0","0","1","1","","","","","","1","12","0","0","0","","","","","","","0","0","11.9","0.31"
"Eli Manning","NYG","1","46","45","26","2","75.7","250","0","9.3","1","0","0","2","1","","","","","","1","2","0","0","2","","","","","","","0","0","12.2","0.27"
"Josh McCown","PHI","1","5","5","3","0","60","24","0","4.8","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","1","0.2"
"Drew Brees","NO","1","5","5","3","0","60","38","0","12.2","0","0","0","1","0","","","","","","0","0","0","0","0","","","","","","","0","0","0.5","0.1"
"Tom Brady","NE","1","30","28","20","0","74.1","264","0","8.89","2","0","0","0","2","","","","","","2","1","1","0","0","","","","","","","0","0","24.7","0.82"
