"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Josh Allen","BUF","1","31","26","13","1","56","208","0","13.84","2","1","1","0","4","","","","","","7","43","0","0","0","","","","","","","0","0","20.6","0.66"
"Mason Rudolph","PIT","1","22","20","14","3","85","129","0","6.45","1","0","0","0","1","","","","","","2","0","0","0","0","","","","","","","0","0","9.2","0.42"
"Baker Mayfield","CLV","1","34","33","20","2","75.9","192","0","10.41","2","0","0","1","0","","","","","","2","4","0","0","0","","","","","","","0","1","15.1","0.44"
"David Blough","DET","1","28","24","12","2","70","117","0","11.65","1","0","0","0","4","","","","","","0","0","0","0","0","","","","","","","0","0","8.7","0.31"
"Lamar Jackson","BLT","1","35","31","20","0","71.4","238","0","7.89","3","0","0","0","0","","","","","","17","103","0","0","2","","","","","","","0","0","31.8","0.91"
"Dwayne Haskins","WAS","1","17","15","12","0","80","133","0","11.27","2","0","0","0","2","","","","","","0","0","0","0","0","","","","","","","0","0","13.3","0.78"
"Gardner Minshew","JAX","1","40","31","13","0","48.1","181","0","8.19","1","1","0","0","3","","","","","","7","36","0","0","0","","","","","","","0","1","14.8","0.37"
"Drew Lock","DEN","1","35","33","25","2","81.8","192","0","7.15","1","0","0","0","0","","","","","","4","10","0","0","0","","","","","","","0","0","12.7","0.36"
"Daniel Jones","NYG","1","46","42","28","2","78.9","352","1","9.13","5","0","0","0","1","","","","","","3","15","0","0","1","","","","","","","0","0","35.6","0.77"
"Kyler Murray","ARZ","1","22","18","11","0","68.8","118","0","8.38","1","0","0","0","1","","","","","","6","40","0","0","0","","","","","","","0","0","12.7","0.58"
"Will Grier","CAR","1","52","44","27","0","65.9","224","0","8.59","0","0","0","3","5","","","","","","4","17","0","0","0","","","","","","","0","0","7.7","0.15"
"Devlin Hodges","PIT","1","20","17","11","0","73.3","84","0","9.67","0","0","0","2","3","","","","","","1","0","0","0","2","","","","","","","0","0","1.4","0.07"
"Sam Darnold","NYJ","1","29","26","16","1","70.8","183","0","8.88","1","0","0","0","2","","","","","","4","3","0","0","3","","","","","","","0","0","11.6","0.4"
"Taysom Hill","NO","1","2","2","1","1","100","20","0","11.5","0","0","0","0","0","","","","","","2","11","0","0","0","","","","","","","0","0","1.9","0.95"
"Deshaun Watson","HST","1","42","32","19","1","69","184","0","6.83","0","0","0","1","5","","","","","","7","37","0","0","1","","","","","","","0","0","10.1","0.24"
"Patrick Mahomes","KC","1","36","33","23","1","77.4","251","0","7.35","2","0","0","0","1","","","","","","2","14","1","0","0","","","","","","","0","0","25.4","0.71"
"Mitchell Trubisky","CHI","1","38","34","18","5","71.9","157","0","8.53","0","0","0","0","3","","","","","","6","20","0","0","1","","","","","","","0","0","8.3","0.22"
"Dak Prescott","DAL","1","47","44","25","5","69.8","265","0","10.77","0","0","0","0","2","","","","","","1","7","0","0","0","","","","","","","0","0","11.3","0.24"
"Jacoby Brissett","IND","1","32","27","14","3","70.8","119","0","10.79","0","0","0","0","3","","","","","","3","37","1","0","0","","","","","","","0","0","14.5","0.45"
"Carson Wentz","PHI","1","44","40","31","0","86.1","319","1","5.25","1","0","0","0","1","","","","","","6","22","0","0","1","","","","","","","0","0","19","0.43"
"Jared Goff","LA","1","50","46","27","1","77.8","323","1","7.61","2","0","0","1","0","","","","","","4","12","0","0","0","","","","","","","0","0","21.1","0.42"
"Brett Hundley","ARZ","1","12","9","4","2","66.7","49","0","7.89","0","0","0","0","1","","","","","","6","35","0","0","0","","","","","","","0","0","5.5","0.46"
"Jameis Winston","TB","1","53","48","25","2","60","335","1","14.02","1","0","0","4","3","","","","","","2","16","0","0","0","","","","","","","0","0","15","0.28"
"Jimmy Garoppolo","SF","1","34","27","16","0","64","248","0","8.84","1","0","0","2","6","","","","","","4","5","0","0","1","","","","","","","0","0","12.4","0.36"
