"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Josh Allen","BUF","1","41","32","23","1","85.7","219","0","4.61","2","0","0","1","4","","","","","","10","27","0","0","0","","","","","","","0","0","18.5","0.45"
"Luke Falk","NYJ","1","35","26","15","3","75","120","0","4.88","0","0","0","2","9","","","","","","0","0","0","0","2","","","","","","","0","1","2.8","0.08"
"Mason Rudolph","PIT","1","21","20","13","0","72.2","131","0","10.5","1","0","0","0","1","","","","","","0","0","0","0","0","","","","","","","0","0","9.2","0.44"
"Baker Mayfield","CLV","1","26","22","8","3","61.1","100","0","13.17","0","0","0","2","4","","","","","","0","0","0","0","2","","","","","","","0","0","2","0.08"
"Ryan Finley","CIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Lamar Jackson","BLT","1","40","28","19","0","67.9","161","0","7.46","1","0","0","3","5","","","","","","14","70","0","0","1","","","","","","","0","0","14.4","0.36"
"Dwayne Haskins","WAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Gardner Minshew","JAX","1","51","44","26","0","68.4","374","1","10.53","2","0","0","0","2","","","","","","7","42","0","0","3","","","","","","","0","0","27.2","0.53"
"Daniel Jones","NYG","1","43","38","21","0","58.3","182","0","10.25","1","0","0","1","4","","","","","","3","12","0","0","0","","","","","","","0","0","11.5","0.27"
"Kyler Murray","ARZ","1","36","32","20","2","75.9","253","0","10.24","0","0","0","0","1","","","","","","10","93","1","0","0","","","","","","","0","0","25.4","0.71"
"Will Grier","CAR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Devlin Hodges","PIT","1","10","9","7","1","88.9","68","0","5.11","0","0","0","0","0","","","","","","2","20","0","0","0","","","","","","","0","0","4.7","0.47"
"Kyle Allen","CAR","1","34","30","17","1","66.7","181","0","6.52","1","0","0","0","3","","","","","","1","4","0","0","1","","","","","","","0","0","11.6","0.34"
"Tim Boyle","GB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Jarrett Stidham","NE","1","1","1","0","0","0","0","0","3","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0","0"
"Cooper Rush","DAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Nick Mullens","SF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Taysom Hill","NO","1","2","1","1","0","100","18","0","15","0","0","0","0","0","","","","","","2","14","0","0","0","","","","","","","0","0","2.1","1.05"
"Joshua Dobbs","JAX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Deshaun Watson","HST","1","36","33","28","2","93.8","426","1","8.91","5","1","0","0","0","","","","","","4","47","0","0","2","","","","","","","0","0","41.7","1.16"
"Patrick Mahomes","KC","1","45","39","22","2","64.9","321","1","11.78","1","0","0","0","4","","","","","","3","17","0","0","0","","","","","","","0","0","18.5","0.41"
"Brandon Allen","DEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Dak Prescott","DAL","1","51","44","27","4","77.5","463","1","12.05","2","2","1","3","3","","","","","","4","27","0","0","0","","","","","","","0","0","26.2","0.51"
"Jacoby Brissett","IND","1","31","29","18","2","80","151","0","4.76","0","0","0","1","0","","","","","","6","9","1","0","0","","","","","","","0","0","11.9","0.38"
"Carson Wentz","PHI","1","31","29","17","3","83.3","189","0","8.04","1","0","0","0","1","","","","","","2","5","0","0","0","","","","","","","0","0","12.1","0.39"
"Jared Goff","LA","1","50","49","29","3","68.1","395","1","8.51","1","0","0","1","0","","","","","","1","1","0","0","0","","","","","","","0","1","18.9","0.38"
"Brett Hundley","ARZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Sean Mannion","MIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Marcus Mariota","TEN","1","31","22","13","3","76.2","183","0","4.9","0","0","0","0","5","","","","","","5","13","0","0","0","","","","","","","0","0","8.6","0.28"
"Jameis Winston","TB","1","36","27","15","3","72","204","0","9.56","2","0","0","0","6","","","","","","3","13","0","0","1","","","","","","","0","0","17.5","0.49"
"Garrett Gilbert","CLV","1","1","1","0","0","0","0","0","5","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0","0"
"David Fales","NYJ","1","1","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","0","0","0","0","0","","","","","","","0","0","0","0"
"A.J. McCarron","HST","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Jimmy Garoppolo","SF","1","31","29","20","1","77.8","181","0","6.93","2","0","0","0","2","","","","","","4","-3","0","0","1","","","","","","","0","0","14.9","0.48"
"Derek Carr","OAK","1","33","32","25","2","96.4","229","0","3.32","0","0","0","0","0","","","","","","3","8","0","0","1","","","","","","","0","0","10","0.3"
"Teddy Bridgewater","NO","1","38","34","26","3","93.5","314","1","7.26","4","0","0","1","0","","","","","","5","7","0","0","0","","","","","","","0","0","28.3","0.74"
"Blake Bortles","LA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Tyler Bray","CHI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Ryan Griffin","TB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Matt Barkley","BUF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Mike Glennon","OAK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Geno Smith","SEA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Kirk Cousins","MIN","1","31","27","22","0","88","306","1","7.88","2","0","0","0","3","","","","","","3","3","0","0","1","","","","","","","0","0","20.5","0.66"
"Russell Wilson","SEA","1","30","23","17","0","81","268","0","12.24","4","1","0","0","1","","","","","","8","32","0","0","0","","","","","","","0","1","29.9","1"
"Ryan Tannehill","TEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Robert Griffin III","BLT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Tyrod Taylor","LAC","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Andy Dalton","CIN","1","39","38","27","3","81.1","262","0","6.89","2","1","0","0","1","","","","","","2","5","0","0","1","","","","","","","0","0","19","0.49"
"Colt McCoy","WAS","1","35","27","18","1","76","119","0","6.72","0","0","0","1","6","","","","","","2","14","0","0","2","","","","","","","0","0","5.2","0.15"
"Brian Hoyer","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Chase Daniel","CHI","1","36","30","22","2","80","231","0","7.07","2","0","0","2","4","","","","","","1","2","0","0","0","","","","","","","0","0","15.4","0.43"
"Joe Flacco","DEN","1","25","20","14","1","83.3","182","0","5.89","1","1","1","1","3","","","","","","3","7","0","0","2","","","","","","","0","0","11","0.44"
"Matt Ryan","ATL","1","49","46","32","0","78","330","1","8.15","3","0","0","1","2","","","","","","3","7","1","0","0","","","","","","","1","1","30.9","0.63"
"Matt Moore","KC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Aaron Rodgers","GB","1","37","34","22","2","80","238","0","6.4","0","0","0","0","2","","","","","","4","-1","0","0","0","","","","","","","0","0","9.4","0.25"
"Matt Schaub","ATL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Philip Rivers","LAC","1","48","48","32","2","79.1","211","0","4.4","0","0","0","2","0","","","","","","1","-3","0","0","0","","","","","","","0","0","6.1","0.13"
"Eli Manning","NYG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Josh McCown","PHI","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","2","-2","0","0","0","","","","","","","0","0","-0.2",""
"Tom Brady","NE","1","46","42","28","2","78.9","348","1","8.79","3","0","0","1","4","","","","","","0","0","0","0","0","","","","","","","0","0","24.9","0.54"
