"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Josh Allen","BUF","1","23","20","14","0","70","160","0","10","1","0","0","0","2","","","","","","8","12","1","0","2","","","","","","","0","0","17.6","0.77"
"Mason Rudolph","PIT","1","37","35","26","1","90","191","0","4.67","1","0","0","1","1","","","","","","3","5","0","0","1","","","","","","","0","0","11.1","0.3"
"Baker Mayfield","CLV","1","46","42","27","2","76.3","273","0","4.71","1","0","0","0","2","","","","","","3","22","0","0","0","","","","","","","0","0","17.1","0.37"
"Brett Rypien","DEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Lamar Jackson","BLT","1","26","23","17","1","85.7","163","0","5.52","1","0","0","0","1","","","","","","16","61","2","0","0","","","","","","","0","0","28.6","1.1"
"Dwayne Haskins","WAS","1","29","22","15","1","72.7","144","0","6.77","0","0","0","0","4","","","","","","3","14","0","0","0","","","","","","","0","0","7.2","0.25"
"Gardner Minshew","JAX","1","54","47","27","3","71.4","309","1","9.07","0","0","0","2","3","","","","","","4","34","0","0","2","","","","","","","0","0","13.8","0.26"
"Daniel Jones","NYG","1","50","41","26","3","80.6","210","0","5.81","1","0","0","1","5","","","","","","6","54","0","0","2","","","","","","","0","0","16.8","0.34"
"Kyler Murray","ARZ","1","28","24","17","1","78.3","241","0","4.17","2","1","1","0","3","","","","","","5","34","0","0","0","","","","","","","1","1","21","0.75"
"Will Grier","CAR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Josh Rosen","MIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Devlin Hodges","PIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Sam Darnold","NYJ","1","43","39","27","1","80","260","0","7.23","1","0","0","1","3","","","","","","2","1","0","0","0","","","","","","","0","0","13.5","0.31"
"Kyle Allen","CAR","1","35","32","17","1","64.3","232","0","13.96","2","0","0","1","3","","","","","","3","-4","0","0","0","","","","","","","0","0","15.9","0.45"
"Tim Boyle","GB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Jarrett Stidham","NE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Cooper Rush","DAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Nick Mullens","SF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Joshua Dobbs","JAX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Deshaun Watson","HST","1","34","28","22","1","82.1","201","0","6.43","2","0","0","0","1","","","","","","7","37","0","0","0","","","","","","","0","0","19.7","0.58"
"Mitchell Trubisky","CHI","1","25","21","10","3","61.9","125","0","10.19","0","0","0","0","3","","","","","","2","15","0","0","0","","","","","","","0","0","6.5","0.26"
"Jeff Driskel","DET","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","","","","","0","0","0",""
"Brandon Allen","DEN","1","25","20","12","0","70.6","193","0","10.88","2","1","1","0","3","","","","","","5","13","0","0","0","","","","","","","0","0","17","0.68"
"Dak Prescott","DAL","1","36","35","22","2","70.6","257","0","10.18","3","2","0","1","0","","","","","","3","12","0","0","1","","","","","","","0","0","22.5","0.63"
"Jacoby Brissett","IND","1","7","5","4","0","80","59","0","4.8","0","0","0","0","1","","","","","","2","4","0","0","0","","","","","","","0","0","2.8","0.4"
"Carson Wentz","PHI","1","45","39","26","3","80.6","239","0","7.97","1","0","0","0","4","","","","","","4","15","0","0","0","","","","","","","0","0","15.1","0.34"
